Year,Series,øki,kyn,aldur,Units,Value
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,1.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,2.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,3.0
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,3.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,3.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,3.9
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,4.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,2.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,2.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 25 - 54,%,3.0
