Year,Series,region,sex,age,Units,GeoCode,Value
2014,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.7
2015,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,3.0
2016,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.8
2017,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.8
2018,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.6
2019,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.3
2020,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.0
2021,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.6
2022,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.6
2023,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,2.6
2024,Proportion of population living below the national poverty line,,Males,Age 25 - 54,pct.,TOTAL,3.1
2009,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,4.3
2010,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,4.1
2011,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,4.2
2012,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,4.4
2013,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,3.7
2014,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,3.6
2015,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,3.3
2016,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,3.3
2017,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,3.1
2018,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.6
2019,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.5
2020,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.3
2021,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.6
2022,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.4
2023,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.3
2024,Proportion of population living below the national poverty line,,Males,Age 55 - 66,pct.,TOTAL,2.6
2009,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,3.0
2010,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.6
2011,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.6
2012,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.6
2013,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.7
2014,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.9
2015,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.0
2016,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.9
2017,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.2
2018,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,2.1
2019,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.2
2020,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.1
2021,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,0.8
2022,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,0.7
2023,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.2
2024,Proportion of population living below the national poverty line,,Males,Age 67 + ,pct.,TOTAL,1.3
2009,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,3.3
2010,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,3.7
2011,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,3.1
2012,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,3.7
2013,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,3.1
2014,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.6
2015,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.7
2016,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.5
2017,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.7
2018,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.6
2019,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.1
2020,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.0
2021,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.1
2022,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,1.7
2023,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,1.9
2024,Proportion of population living below the national poverty line,Eysturoy region,,,pct.,4200,2.4
2009,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.6
2010,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,4.6
2011,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.7
2012,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,5.0
2013,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,4.6
2014,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.7
2015,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.8
2016,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.8
2017,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,4.2
2018,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.5
2019,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.1
2020,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.0
2021,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,2.5
2022,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,2.4
2023,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,2.8
2024,Proportion of population living below the national poverty line,Eysturoy region,,Age 0 - 17,pct.,4200,3.3
2009,Proportion of population living below the national poverty line,Eysturoy region,,Age 18 - 24,pct.,4200,3.2
2010,Proportion of population living below the national poverty line,Eysturoy region,,Age 18 - 24,pct.,4200,4.2
